Date,Energy Consumption(MWh),GDP (Trillion US$),Population,,,,,
2003,56840537,4720000000000,82942837,,,,,
2004,57537450,5320000000000,84607501,,,,,
2005,60666874,5920000000000,86261250,,,,,
2006,64087748,6550000000000,87901835,,,,,
2007,68110668,7200000000000,89561377,,,,,
2008,69858681,8050000000000,91252326,,,,,
2009,70688721,8390000000000,92946951,,,,,
2010,74492735,9400000000000,94636700,,,,,
2011,76895893,10140000000000,96377913,,,,,
2012,78576482,11060000000000,98032317,,,,,
2013,79784779,12050000000000,99700107,,,,,
2014,81547147,13210000000000,101325201,,,,,
2015,82610335,13940000000000,103301365,,,,,
2016,84087430,15130000000000,104875266,,,,,
2017,87074119,16560000000000,106738501,,,,,
2018,90797870,18270000000000,108568836,,,,,
2019,97018198,19520000000000,110380804,,,,,
2020,90835654,17950000000000,112190977,,,,,
2021,99164773,19410000000000,113880328,,,,,
2022,106114713,22030000000000,115559009,,,,,
2023,111669859,24320000000000,117337368,,,,,
